OBEC,OKRES,KRAJ
Štichov,Domažlice,"Plzeňský kraj"
Štichovice,Plzeň-sever,"Plzeňský kraj"
Štíhlice,Praha-východ,"Středočeský kraj"
Stínava,Prostějov,"Olomoucký kraj"
Štipoklasy,"Kutná Hora","Středočeský kraj"
Štítary,Znojmo,"Jihomoravský kraj"
Štítina,Opava,"Moravskoslezský kraj"
"Štítná nad Vláří-Popov",Zlín,"Zlínský kraj"
Štítov,Rokycany,"Plzeňský kraj"
Štíty,Šumperk,"Olomoucký kraj"
Stochov,Kladno,"Středočeský kraj"
Stod,Plzeň-jih,"Plzeňský kraj"
Stojčín,Pelhřimov,Vysočina
Stojice,Pardubice,"Pardubický kraj"
Štoky,"Havlíčkův Brod",Vysočina
Stolany,Chrudim,"Pardubický kraj"
Stonařov,Jihlava,Vysočina
Stonava,Karviná,"Moravskoslezský kraj"
"Stošíkovice na Louce",Znojmo,"Jihomoravský kraj"
Stožec,Prachatice,"Jihočeský kraj"
Stožice,Strakonice,"Jihočeský kraj"
Strachoňovice,Jihlava,Vysočina
Strachotice,Znojmo,"Jihomoravský kraj"
Strachotín,Břeclav,"Jihomoravský kraj"
Strachujov,"Žďár nad Sázavou",Vysočina
Stračov,"Hradec Králové","Královéhradecký kraj"
Stradonice,Kladno,"Středočeský kraj"
Stradouň,"Ústí nad Orlicí","Pardubický kraj"
Strahovice,Opava,"Moravskoslezský kraj"
Strakonice,Strakonice,"Jihočeský kraj"
Strakov,Svitavy,"Pardubický kraj"
Straky,Nymburk,"Středočeský kraj"
Štramberk,"Nový Jičín","Moravskoslezský kraj"
Strančice,Praha-východ,"Středočeský kraj"
"Stránecká Zhoř","Žďár nad Sázavou",Vysočina
Strání,"Uherské Hradiště","Zlínský kraj"
Stránka,Mělník,"Středočeský kraj"
Stranný,Benešov,"Středočeský kraj"
Strašice,Rokycany,"Plzeňský kraj"
Strašice,Strakonice,"Jihočeský kraj"
Strašín,Klatovy,"Plzeňský kraj"
Straškov-Vodochody,Litoměřice,"Ústecký kraj"
Strašnov,"Mladá Boleslav","Středočeský kraj"
Strašov,Pardubice,"Pardubický kraj"
Stratov,Nymburk,"Středočeský kraj"
Stráž,Domažlice,"Plzeňský kraj"
Strážek,"Žďár nad Sázavou",Vysočina
Stražisko,Prostějov,"Olomoucký kraj"
Strážiště,"Mladá Boleslav","Středočeský kraj"
Strážkovice,"České Budějovice","Jihočeský kraj"
"Stráž nad Nežárkou","Jindřichův Hradec","Jihočeský kraj"
"Stráž nad Nisou",Liberec,"Liberecký kraj"
"Stráž nad Ohří","Karlovy Vary","Karlovarský kraj"
Strážná,"Ústí nad Orlicí","Pardubický kraj"
Strážné,Trutnov,"Královéhradecký kraj"
Strážnice,Hodonín,"Jihomoravský kraj"
Strážný,Prachatice,"Jihočeský kraj"
Strážovice,Hodonín,"Jihomoravský kraj"
Strážov,Klatovy,"Plzeňský kraj"
"Stráž pod Ralskem","Česká Lípa","Liberecký kraj"
Stráž,Tachov,"Plzeňský kraj"
Středokluky,Praha-západ,"Středočeský kraj"
Střelice,Brno-venkov,"Jihomoravský kraj"
Střelice,Plzeň-jih,"Plzeňský kraj"
Střelice,Znojmo,"Jihomoravský kraj"
Střelná,Vsetín,"Zlínský kraj"
"Střelské Hoštice",Strakonice,"Jihočeský kraj"
Střemošice,Chrudim,"Pardubický kraj"
Střemy,Mělník,"Středočeský kraj"
Strenice,"Mladá Boleslav","Středočeský kraj"
Střeň,Olomouc,"Olomoucký kraj"
Střevač,Jičín,"Královéhradecký kraj"
Střezetice,"Hradec Králové","Královéhradecký kraj"
Střezimíř,Benešov,"Středočeský kraj"
Strhaře,Brno-venkov,"Jihomoravský kraj"
Stříbřec,"Jindřichův Hradec","Jihočeský kraj"
"Stříbrná Skalice",Praha-východ,"Středočeský kraj"
Stříbrná,Sokolov,"Karlovarský kraj"
"Stříbrné Hory","Havlíčkův Brod",Vysočina
Stříbrnice,Přerov,"Olomoucký kraj"
Stříbrnice,"Uherské Hradiště","Zlínský kraj"
Stříbro,Tachov,"Plzeňský kraj"
Střílky,Kroměříž,"Zlínský kraj"
Střítež,"Český Krumlov","Jihočeský kraj"
Střítež,Frýdek-Místek,"Moravskoslezský kraj"
Střítež,Jihlava,Vysočina
"Střítež nad Bečvou",Vsetín,"Zlínský kraj"
"Střítež nad Ludinou",Přerov,"Olomoucký kraj"
Střítež,Pelhřimov,Vysočina
"Střítež pod Křemešníkem",Pelhřimov,Vysočina
Střítež,Třebíč,Vysočina
Střítež,"Žďár nad Sázavou",Vysočina
Střížov,"České Budějovice","Jihočeský kraj"
Střížovice,"Jindřichův Hradec","Jihočeský kraj"
Střížovice,Kroměříž,"Zlínský kraj"
Střížovice,Plzeň-jih,"Plzeňský kraj"
Strmilov,"Jindřichův Hradec","Jihočeský kraj"
Strojetice,Benešov,"Středočeský kraj"
Stropešín,Třebíč,Vysočina
Struhařov,Benešov,"Středočeský kraj"
Struhařov,Praha-východ,"Středočeský kraj"
Strukov,Olomouc,"Olomoucký kraj"
"Strunkovice nad Blanicí",Prachatice,"Jihočeský kraj"
"Strunkovice nad Volyňkou",Strakonice,"Jihočeský kraj"
Strupčice,Chomutov,"Ústecký kraj"
Stružinec,Semily,"Liberecký kraj"
Stružná,"Karlovy Vary","Karlovarský kraj"
Stružnice,"Česká Lípa","Liberecký kraj"
Strýčice,"České Budějovice","Jihočeský kraj"
Studánka,Tachov,"Plzeňský kraj"
Studená,"Jindřichův Hradec","Jihočeský kraj"
Studená,Plzeň-sever,"Plzeňský kraj"
Studenec,Semily,"Liberecký kraj"
Studenec,Třebíč,Vysočina
Studené,"Ústí nad Orlicí","Pardubický kraj"
Studeněves,Kladno,"Středočeský kraj"
Studénka,"Nový Jičín","Moravskoslezský kraj"
Studený,Benešov,"Středočeský kraj"
Študlov,Svitavy,"Pardubický kraj"
Študlov,Vsetín,"Zlínský kraj"
Studnice,Chrudim,"Pardubický kraj"
Studnice,Náchod,"Královéhradecký kraj"
Studnice,Třebíč,Vysočina
Studnice,Vyškov,"Jihomoravský kraj"
Stupava,"Uherské Hradiště","Zlínský kraj"
Stvolínky,"Česká Lípa","Liberecký kraj"
Stvolová,Blansko,"Jihomoravský kraj"
Šubířov,Prostějov,"Olomoucký kraj"
Suchá,Jihlava,Vysočina
"Suchá Lhota",Svitavy,"Pardubický kraj"
"Suchá Loz","Uherské Hradiště","Zlínský kraj"
Suchdol,"Kutná Hora","Středočeský kraj"
"Suchdol nad Lužnicí","Jindřichův Hradec","Jihočeský kraj"
"Suchdol nad Odrou","Nový Jičín","Moravskoslezský kraj"
Suchdol,Prostějov,"Olomoucký kraj"
Suchodol,Příbram,"Středočeský kraj"
"Suchohrdly u Miroslavi",Znojmo,"Jihomoravský kraj"
Suchohrdly,Znojmo,"Jihomoravský kraj"
Suchomasty,Beroun,"Středočeský kraj"
Suchonice,Olomouc,"Olomoucký kraj"
Suchov,Hodonín,"Jihomoravský kraj"
Suchovršice,Trutnov,"Královéhradecký kraj"
Suchý,Blansko,"Jihomoravský kraj"
"Suchý Důl",Náchod,"Královéhradecký kraj"
Sudějov,"Kutná Hora","Středočeský kraj"
Sudice,Blansko,"Jihomoravský kraj"
Sudice,Opava,"Moravskoslezský kraj"
Sudice,Třebíč,Vysočina
"Sudislav nad Orlicí","Ústí nad Orlicí","Pardubický kraj"
Sudkov,Šumperk,"Olomoucký kraj"
Sudoměřice,Hodonín,"Jihomoravský kraj"
"Sudoměřice u Bechyně",Tábor,"Jihočeský kraj"
"Sudoměřice u Tábora",Tábor,"Jihočeský kraj"
Sudoměř,"Mladá Boleslav","Středočeský kraj"
"Sudovo Hlavno",Praha-východ,"Středočeský kraj"
Sudslava,"Ústí nad Orlicí","Pardubický kraj"
Sukorady,Jičín,"Královéhradecký kraj"
Sukorady,"Mladá Boleslav","Středočeský kraj"
Sulejovice,Litoměřice,"Ústecký kraj"
Sulice,Praha-východ,"Středočeský kraj"
Sulíkov,Blansko,"Jihomoravský kraj"
Sulimov,Kroměříž,"Zlínský kraj"
Sulislav,Tachov,"Plzeňský kraj"
Sulkovec,"Žďár nad Sázavou",Vysočina
"Šumavské Hoštice",Prachatice,"Jihočeský kraj"
Šumice,Brno-venkov,"Jihomoravský kraj"
Šumice,"Uherské Hradiště","Zlínský kraj"
Šumná,Znojmo,"Jihomoravský kraj"
Šumperk,Šumperk,"Olomoucký kraj"
Šumvald,Olomouc,"Olomoucký kraj"
Supíkovice,Jeseník,"Olomoucký kraj"
Sušice,Klatovy,"Plzeňský kraj"
Sušice,Přerov,"Olomoucký kraj"
Sušice,"Uherské Hradiště","Zlínský kraj"
Švábenice,Vyškov,"Jihomoravský kraj"
Švábov,Jihlava,Vysočina
Svárov,Kladno,"Středočeský kraj"
Svárov,"Uherské Hradiště","Zlínský kraj"
Svatá,Beroun,"Středočeský kraj"
"Svatá Maří",Prachatice,"Jihočeský kraj"
Svatava,Sokolov,"Karlovarský kraj"
"Svaté Pole",Příbram,"Středočeský kraj"
"Svatobořice - Mistřín",Hodonín,"Jihomoravský kraj"
"Svatojanský Újezd",Jičín,"Královéhradecký kraj"
Svatoňovice,Opava,"Moravskoslezský kraj"
Svatoslav,Brno-venkov,"Jihomoravský kraj"
Svatoslav,Třebíč,Vysočina
"Svatý Jan nad Malší","České Budějovice","Jihočeský kraj"
"Svatý Jan pod Skalou",Beroun,"Středočeský kraj"
"Svatý Jan",Příbram,"Středočeský kraj"
"Svatý Jiří","Ústí nad Orlicí","Pardubický kraj"
"Svatý Mikuláš","Kutná Hora","Středočeský kraj"
Svébohov,Šumperk,"Olomoucký kraj"
Svémyslice,Praha-východ,"Středočeský kraj"
Svépravice,Pelhřimov,Vysočina
Svéradice,Klatovy,"Plzeňský kraj"
Svésedlice,Olomouc,"Olomoucký kraj"
Světce,"Jindřichův Hradec","Jihočeský kraj"
Světec,Teplice,"Ústecký kraj"
Světice,Praha-východ,"Středočeský kraj"
Světí,"Hradec Králové","Královéhradecký kraj"
Světlá,Blansko,"Jihomoravský kraj"
"Světlá Hora",Bruntál,"Moravskoslezský kraj"
"Světlá nad Sázavou","Havlíčkův Brod",Vysočina
"Světlá pod Ještědem",Liberec,"Liberecký kraj"
Světlík,"Český Krumlov","Jihočeský kraj"
Světnov,"Žďár nad Sázavou",Vysočina
Sviadnov,Frýdek-Místek,"Moravskoslezský kraj"
Svídnice,Chrudim,"Pardubický kraj"
Svídnice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Švihov,Klatovy,"Plzeňský kraj"
Švihov,Rakovník,"Středočeský kraj"
"Svijanský Újezd",Liberec,"Liberecký kraj"
Svijany,Liberec,"Liberecký kraj"
Svinaře,Beroun,"Středočeský kraj"
Svinařov,Kladno,"Středočeský kraj"
Svinčany,Pardubice,"Pardubický kraj"
Svinošice,Blansko,"Jihomoravský kraj"
Sviny,Tábor,"Jihočeský kraj"
Sviny,"Žďár nad Sázavou",Vysočina
Svitávka,Blansko,"Jihomoravský kraj"
Svitavy,Svitavy,"Pardubický kraj"
"Svoboda nad Úpou",Trutnov,"Královéhradecký kraj"
"Svobodné Heřmanice",Bruntál,"Moravskoslezský kraj"
Svojanov,Svitavy,"Pardubický kraj"
Svojek,Semily,"Liberecký kraj"
Svojetice,Praha-východ,"Středočeský kraj"
Svojetín,Rakovník,"Středočeský kraj"
Svojkov,"Česká Lípa","Liberecký kraj"
Svojkovice,Jihlava,Vysočina
Svojkovice,Rokycany,"Plzeňský kraj"
Svojšice,Kolín,"Středočeský kraj"
Svojšice,Pardubice,"Pardubický kraj"
Svojšice,Příbram,"Středočeský kraj"
Svojšín,Tachov,"Plzeňský kraj"
Svor,"Česká Lípa","Liberecký kraj"
Svrabov,Tábor,"Jihočeský kraj"
Svratka,"Žďár nad Sázavou",Vysočina
Svratouch,Chrudim,"Pardubický kraj"
Svrkyně,Praha-západ,"Středočeský kraj"
Sychrov,Liberec,"Liberecký kraj"
Sýkořice,Rakovník,"Středočeský kraj"
Synalov,Brno-venkov,"Jihomoravský kraj"
Synkov-Slemeno,"Rychnov nad Kněžnou","Královéhradecký kraj"
Syřenov,Semily,"Liberecký kraj"
Syrovátka,"Hradec Králové","Královéhradecký kraj"
Syrovice,Brno-venkov,"Jihomoravský kraj"
Syrovín,Hodonín,"Jihomoravský kraj"
Syrov,Pelhřimov,Vysočina
Sytno,Tachov,"Plzeňský kraj"
Tábor,Tábor,"Jihočeský kraj"
Tachlovice,Praha-západ,"Středočeský kraj"
Tachov,"Česká Lípa","Liberecký kraj"
Tachov,Tachov,"Plzeňský kraj"
Tálín,Písek,"Jihočeský kraj"
Tanvald,"Jablonec nad Nisou","Liberecký kraj"
Tasov,Hodonín,"Jihomoravský kraj"
Tasovice,Blansko,"Jihomoravský kraj"
Tasovice,Znojmo,"Jihomoravský kraj"
Tašov,"Ústí nad Labem","Ústecký kraj"
Tasov,"Žďár nad Sázavou",Vysočina
Tatce,Kolín,"Středočeský kraj"
Tatenice,"Ústí nad Orlicí","Pardubický kraj"
Tatiná,Plzeň-sever,"Plzeňský kraj"
Tatobity,Semily,"Liberecký kraj"
Tatrovice,Sokolov,"Karlovarský kraj"
Tavíkovice,Znojmo,"Jihomoravský kraj"
Tchořovice,Strakonice,"Jihočeský kraj"
Těchařovice,Příbram,"Středočeský kraj"
Těchlovice,Děčín,"Ústecký kraj"
Těchlovice,"Hradec Králové","Královéhradecký kraj"
Těchobuz,Pelhřimov,Vysočina
Těchonín,"Ústí nad Orlicí","Pardubický kraj"
Tečovice,Zlín,"Zlínský kraj"
Tehov,Benešov,"Středočeský kraj"
Tehovec,Praha-východ,"Středočeský kraj"
Tehov,Praha-východ,"Středočeský kraj"
Telč,Jihlava,Vysočina
Telecí,Svitavy,"Pardubický kraj"
Telnice,Brno-venkov,"Jihomoravský kraj"
Telnice,"Ústí nad Labem","Ústecký kraj"
Temelín,"České Budějovice","Jihočeský kraj"
Temešvár,Písek,"Jihočeský kraj"
Těmice,Hodonín,"Jihomoravský kraj"
Těmice,Pelhřimov,Vysočina
Těně,Rokycany,"Plzeňský kraj"
Teplá,Cheb,"Karlovarský kraj"
"Teplice nad Bečvou",Přerov,"Olomoucký kraj"
"Teplice nad Metují",Náchod,"Královéhradecký kraj"
Teplice,Teplice,"Ústecký kraj"
Teplička,"Karlovy Vary","Karlovarský kraj"
Teplýšovice,Benešov,"Středočeský kraj"
Terešov,Rokycany,"Plzeňský kraj"
Terezín,Hodonín,"Jihomoravský kraj"
Terezín,Litoměřice,"Ústecký kraj"
Těrlicko,Karviná,"Moravskoslezský kraj"
Těšany,Brno-venkov,"Jihomoravský kraj"
Těšetice,Olomouc,"Olomoucký kraj"
Těšetice,Znojmo,"Jihomoravský kraj"
Těškovice,Opava,"Moravskoslezský kraj"
Těškov,Rokycany,"Plzeňský kraj"
Těšovice,Prachatice,"Jihočeský kraj"
Těšovice,Sokolov,"Karlovarský kraj"
Tetčice,Brno-venkov,"Jihomoravský kraj"
Tetín,Beroun,"Středočeský kraj"
Tetín,Jičín,"Královéhradecký kraj"
Tetov,Pardubice,"Pardubický kraj"
Tichá,"Nový Jičín","Moravskoslezský kraj"
Tichonice,Benešov,"Středočeský kraj"
Tichov,Zlín,"Zlínský kraj"
Tisá,"Ústí nad Labem","Ústecký kraj"
Tísek,"Nový Jičín","Moravskoslezský kraj"
Tisem,Benešov,"Středočeský kraj"
Tis,"Havlíčkův Brod",Vysočina
Tišice,Mělník,"Středočeský kraj"
Tismice,Kolín,"Středočeský kraj"
Tišnov,Brno-venkov,"Jihomoravský kraj"
"Tišnovská Nová Ves",Brno-venkov,"Jihomoravský kraj"
Tisová,Tachov,"Plzeňský kraj"
Tisová,"Ústí nad Orlicí","Pardubický kraj"
Tisovec,Chrudim,"Pardubický kraj"
Tištín,Prostějov,"Olomoucký kraj"
"Tis u Blatna",Plzeň-sever,"Plzeňský kraj"
Tlučná,Plzeň-sever,"Plzeňský kraj"
Tlumačov,Domažlice,"Plzeňský kraj"
Tlumačov,Zlín,"Zlínský kraj"
Tlustice,Beroun,"Středočeský kraj"
Tmaň,Beroun,"Středočeský kraj"
Tochovice,Příbram,"Středočeský kraj"
Točník,Beroun,"Středočeský kraj"
Tojice,Plzeň-jih,"Plzeňský kraj"
Tomice,Benešov,"Středočeský kraj"
Topolany,Vyškov,"Jihomoravský kraj"
Topolná,"Uherské Hradiště","Zlínský kraj"
Toušice,Kolín,"Středočeský kraj"
Toužetín,Louny,"Ústecký kraj"
Toužim,"Karlovy Vary","Karlovarský kraj"
Tovačov,Přerov,"Olomoucký kraj"
Tovéř,Olomouc,"Olomoucký kraj"
Třanovice,Frýdek-Místek,"Moravskoslezský kraj"
Traplice,"Uherské Hradiště","Zlínský kraj"
Travčice,Litoměřice,"Ústecký kraj"
Trboušany,Brno-venkov,"Jihomoravský kraj"
Třebařov,Svitavy,"Pardubický kraj"
Třebčice,Plzeň-jih,"Plzeňský kraj"
"Třebechovice pod Orebem","Hradec Králové","Královéhradecký kraj"
Třebějice,Tábor,"Jihočeský kraj"
Třebelovice,Třebíč,Vysočina
Třebeň,Cheb,"Karlovarský kraj"
Třebenice,Litoměřice,"Ústecký kraj"
Třebenice,Třebíč,Vysočina
Třebešice,Benešov,"Středočeský kraj"
Třebešice,"Kutná Hora","Středočeský kraj"
Třebešov,"Rychnov nad Kněžnou","Královéhradecký kraj"
Třebestovice,Nymburk,"Středočeský kraj"
Třebětice,"Jindřichův Hradec","Jihočeský kraj"
Třebětice,Kroměříž,"Zlínský kraj"
Třebětín,"Kutná Hora","Středočeský kraj"
Třebichovice,Kladno,"Středočeský kraj"
Třebíč,Třebíč,Vysočina
Třebihošť,Trutnov,"Královéhradecký kraj"
Třebívlice,Litoměřice,"Ústecký kraj"
Třebíz,Kladno,"Středočeský kraj"
Třebnouševes,Jičín,"Královéhradecký kraj"
Třeboc,Rakovník,"Středočeský kraj"
Třebohostice,Strakonice,"Jihočeský kraj"
Třebom,Opava,"Moravskoslezský kraj"
Třebonín,"Kutná Hora","Středočeský kraj"
Třeboň,"Jindřichův Hradec","Jihočeský kraj"
Třebosice,Pardubice,"Pardubický kraj"
Třebotov,Praha-západ,"Středočeský kraj"
Třebovice,"Ústí nad Orlicí","Pardubický kraj"
Třebovle,Kolín,"Středočeský kraj"
Třebsko,Příbram,"Středočeský kraj"
Třebusice,Kladno,"Středočeský kraj"
Třebušín,Litoměřice,"Ústecký kraj"
Třemešná,Bruntál,"Moravskoslezský kraj"
Třemešné,Tachov,"Plzeňský kraj"
Třemošná,Plzeň-sever,"Plzeňský kraj"
Třemošnice,Chrudim,"Pardubický kraj"
Třesovice,"Hradec Králové","Královéhradecký kraj"
Třešovice,Strakonice,"Jihočeský kraj"
Třesov,Třebíč,Vysočina
Třeštice,Jihlava,Vysočina
Třeština,Šumperk,"Olomoucký kraj"
Třešť,Jihlava,Vysočina
Trhanov,Domažlice,"Plzeňský kraj"
"Trhová Kamenice",Chrudim,"Pardubický kraj"
"Trhové Dušníky",Příbram,"Středočeský kraj"
"Trhové Sviny","České Budějovice","Jihočeský kraj"
"Trhový Štěpánov",Benešov,"Středočeský kraj"
Třibřichy,Chrudim,"Pardubický kraj"
"Tři Dvory",Kolín,"Středočeský kraj"
Třinec,Frýdek-Místek,"Moravskoslezský kraj"
"Tři Sekery",Cheb,"Karlovarský kraj"
"Tři Studně","Žďár nad Sázavou",Vysočina
Trmice,"Ústí nad Labem","Ústecký kraj"
Trnava,Třebíč,Vysočina
Trnava,Zlín,"Zlínský kraj"
Trnávka,"Nový Jičín","Moravskoslezský kraj"
Trnávka,Pardubice,"Pardubický kraj"
Trnovany,Litoměřice,"Ústecký kraj"
Trnová,Plzeň-sever,"Plzeňský kraj"
Trnová,Praha-západ,"Středočeský kraj"
